original_index	presentation_index	annotator	is_flipped	query	adj_0	adj_1
7	11	0	False	For example, here, in their videos, ...there is a change in audience feedback, e.g. there is a lot of Danmu, and I will know that the feedback is good, and I will know this is the efect that I should learn.	If you watch a video several times, you would learn how they edit it, and you can try to imitate it for that effect. Overtime, you will know.	You are all alone by yourself, speaking to yourself in front of a camera, with emotions, and then, editing is also a very long process. You might sit there for a whole day, and quietly watch an episode again and again, by yourself, and there is nothing to talk about, and there is no input from anyone else either. There is a lot of tedious labor, all manual labor.
76	12	0	True	One of the reasons I don’t play [movement-based games] is it involves a lot of set up depending on what game you want to play.	if the building has accessibility but it requires someone to operate the lift for you, you don’t feel very independent, you don’t want to feel as if people are going out of their way	The reason I don’t do it physical activity is because I’m on my own, my carer comes in the morning and the night and I’m with my fiancée or whatever most of the day so to get into the pool and get changed to exercise you need someone there, so I like to be as independent as possible and that’s probably why I don’t exercise and do that stuff in my own time. [...] With gaming I can just have my PC set up on sleep and roll up to it and use it and we are good to go
56	13	0	True	In my class, there was a classmate...he liked playing games, and liked making videos of game playing and uploading them. When I saw it, I thought it was fun, so I started to do it...I will do it together with him, and it is good for us to do it together.	They will say, will it interfere with your studies? I say,‘This is [for] my major. This is for me to do practice with the media, otherwise how can I know the media ecology?	She was born in 2000 (and I was born in 1999)... although we go to school together and we are in the same graduate class... she will talk about the post-2000 generation’s romantic ideas. Things like that will usually receive a high number of views
70	14	0	True	I’m pretty good at driving the wheelchair and perceive the available space...If I say go through that gap, the technology should be making sure that I’m going through that gap and doing the avoidance, but not slowing down to crawl.	It is a superb design! Clearly, it would enable more people to drive, because it’s not excluding you on the basis of an inability to drive	Full autonomy will allow me to focus on other things. For example, say take me to platform H, it will take me automatically there while I can focus on chatting with my friend.
62	15	0	False	It is not so interesting if you just go out to play for two days and shoot. Because if I am just a passerby, I will not fnd it attractive. Because it is just your life, not mine. I think, as uploaders, we have the responsibility to present quality content to the audience. I will not just make day-to-day accounts, because not every moment of life is fun	If you want to be an uploader, you want to make sure it is high quality. Otherwise, it is a waste of others’ time, which is not good	The number of views of my video got plummet all of a sudden, and there was not much exposure then. It was at that time that I realized that, oh, video uploading was not something that you do randomly, that you just edit and upload it
6	16	0	False	Especially in places such as airports and train stations, people may not see you, and they will fall on you	I normally shout at people or use my elbow to avoid them fall on me	If you are in a wheelchair, you become invisible and people just don’t see you. . . 
80	17	0	True	Some fans told me in their private message that they got dates by following my tutorials...I felt it was worth it. Even if the video was only watched by a number of viewers, it was worth it. I was very happy. It was the highlight and gave me a sense of achievement.	The number of viewers soon reached over 10,000, and it was so much higher than what I imagined. I imagined it could be, could be tens of people to watch.	It was a long time ago, last year, when I uploaded a ftness video...Probably it happened to step on the recommendation algorithm, and it got over 500,000 views shortly, but it did not bring many followers...and the interaction was also not good.
106	18	0	True	Ye there are some cool things you could do with music so in the skateboarding game music intensifies so there could be more cars on the road, and it becomes less . . . things to dodge if the music is slow	you don’t think about doing these activities when you’re playing the game like collecting these pizzas or fighting robots, so it becomes one more robot, one more robot, and you don’t even realise you’ve done PA	I like involvement of music well music in any game is gonna create some physical interaction with the player . . . with fast music your gonna be involved but with chill your gonna be less involved
148	19	0	False	you’re just hoping the items drop, you’re sort of wondering am I just unlucky or am I spending more time than I really should be doing this sort of thing	A game where if you don’t pay money or put in a lot of time, you can’t play most of the game	I defnitely prefer the deterministic one ... it defnitely just feels a little better to just know that you’ll be done once and for all if you do it in a deterministic way
143	20	0	False	when you try to communicate a lot using a limited medium like a job is essentially an instant messenger that comes from the idea that you can’t really write letters and expect people to receive it and all of that right	I would say, for using stickers and memes, they are fun, but I don’t use those with like everyone basically I use these GIFs and stickers approximately with only like four to fve people...I keep my professional distance...if you would say because nobody uses those I have back in India, so I am on the fence with that	There is this thing within a certain group they have like a norm that they don’t use the praying emoji for thank you because they do not want to use any religious emoji...so they like own a thank you emoji and...when I entered, I didn’t know this, so I used the praying emoji for Thank you emoji, and then some people sent me a message saying I should use the other non-religious thank you emoji
112	21	0	False	You don’t have tactile feedback in these wheelchairs, whereas if you were in a manual chair, You know, you can feel the resistance when you’re trying to push it	It can make people better aware [that] the wheelchair is coming, but I don’t want to draw extra attention on me, especially on my disability	Yes, I would like to receive this kind of thing [i.e. feedback from the wheelchair], it would be nice to be told what it is going to do, so that you would be aware, and you’re not taken by surprise.
144	22	0	False	with this [Scavengers] you are doing the exercises because it is a fun thing to do. Also, the actions you are doing seem more relevant to what’s going on on the screen.	game is there for me to escape and forget what I’m doing [...] it allows me not to be reminded of what I look like	you don’t think about doing these activities when you’re playing the game like collecting these pizzas or fighting robots, so it becomes one more robot, one more robot, and you don’t even realise you’ve done PA
124	23	0	False	game is there for me to escape and forget what I’m doing [...] it allows me not to be reminded of what I look like	I think that an issue that a lot of wheelchair users have with games, because obviously there aren’t many they seem a bit handholdy sort of alienated in a way, it feels very specifically designed for wheelchair users while someone in a wheelchair could use it, when it’s simple it seems obvious that it’s for someone in a wheelchair	with this [Scavengers] you are doing the exercises because it is a fun thing to do. Also, the actions you are doing seem more relevant to what’s going on on the screen.
145	24	0	False	you don’t think about doing these activities when you’re playing the game like collecting these pizzas or fighting robots, so it becomes one more robot, one more robot, and you don’t even realise you’ve done PA	Ye there are some cool things you could do with music so in the skateboarding game music intensifies so there could be more cars on the road, and it becomes less . . . things to dodge if the music is slow	with this [Scavengers] you are doing the exercises because it is a fun thing to do. Also, the actions you are doing seem more relevant to what’s going on on the screen.
110	25	0	False	You are all alone by yourself, speaking to yourself in front of a camera, with emotions, and then, editing is also a very long process. You might sit there for a whole day, and quietly watch an episode again and again, by yourself, and there is nothing to talk about, and there is no input from anyone else either. There is a lot of tedious labor, all manual labor.	For example, here, in their videos, ...there is a change in audience feedback, e.g. there is a lot of Danmu, and I will know that the feedback is good, and I will know this is the efect that I should learn.	For the uploader [anonymized], I think he must be a shy person in reality. If you have a strong presentation online, you will be introverted in reality for sure
75	26	0	True	My team lead posts some kind of random joke every day on like one the platform, so what he did was like he posts a joke there, and he would add random emoji at the bottom with the post, and would want us to vote using those emoji	There is an emoji that’s kind of like that this guy used to send to everybody, and it became kind of like his thing...And then now do you know we don’t see that emoji thrown around anymore, and feel like people don’t want to use it, because then you know; it’s copycatting that guy	Then slowly, then, after some time we transcended from emails to phone calls and then to video calls like four ... And that happened because I would sometimes use SMILEY or some emoji and they would also reciprocate
78	27	0	True	So he would say thank you over the video, and after a few minutes he would send a giphy...he would send that, and that sticker would be crying. And it would seem that that person is sad, and I wouldn’t say anything like for a few days, but then I noticed this kept happening again. I was totally clueless...and then it turns out that he was sending like over happiness, which I thought, like, ‘Why is he crying and why is the person sad?	Yeah, I mean one thing is that there are too many emoji and I have to if I had to use a new one, I had to go and search what it means, and then use it. So most of the times, I’m aware that there is a hover over feature, it tells the meaning, but it’s just that there are too many. So, I think it’s just a preference that I tend to not look over it since, as I mean since I’m a Ph.D. student, I tend to have a short amount of time to get things done in a short amount of time	I actually mostly have that problem with the thumbs up analogy because, like, in my family like if I use that with my mom she would think I was really passive aggressive and like vice versa, my mom used that with me and actually the frst time, my supervisor used it, I thought she was mad at me, and then I realized that was her version
66	28	0	False	It was nice to see useful chat messages being organized without unrelated ones and keep them like memos	I could understand the flow of the game well because it made the order of previous events clear for me.	I was able to enjoy the stream by looking at the parts that people were mainly interested in.
67	29	0	False	It’s not professional, so when joining a new team, it seems inappropriate to use gifs/stickers when others do not. If I work with this team longer, I’m sure I will start using them once I know everyone well	I use Microsoft teams which doesn’t support most of gifs	I’m very less familiar with these emojis infact till today also I don’t know the actual need of some emojis
73	30	0	True	Making videos is fun for sure, but I am thinking, it is not necessary to be an uploader if you just want to ordinarily share your life. But that is just mediocre. Since you’ve determined to do it, you should become stronger and bigger.	I got a certifcate when I had 6,000 fans... They were saying if you reached over 5,000 fans and if you could update how many videos how often...I forgot the concrete numbers...you would obtain a certifcate.	For future development, probably I will become fulltime one day, but currently I am no way, no way near there, and I have to look for a job. I have a vision for sure, but I do not know how to land it, and we will see how I develop
100	31	0	False	Typical live streams are unedited, so it’s easy to get bored when it gets loose. However, the summary feature made me enjoy the stream especially when the streamer was not speaking or something that I’m not interested in was being played	Based on snapshots and keywords I was able to roughly understand when ingredients were introduced and when and what ingredients were added. However, it was difcult to grasp the exact contents with the highlight feature alone, such as how it was cooked	I could understand the flow of the game well because it made the order of previous events clear for me.
37	32	0	True	I think that an issue that a lot of wheelchair users have with games, because obviously there aren’t many they seem a bit handholdy sort of alienated in a way, it feels very specifically designed for wheelchair users while someone in a wheelchair could use it, when it’s simple it seems obvious that it’s for someone in a wheelchair	game is there for me to escape and forget what I’m doing [...] it allows me not to be reminded of what I look like	[some games] are very obviously teaching you math
24	33	0	False	I feel very happy if I get a really rare item	if I get something [not as good] I feel worse	if the reward is very rare, it deserves a better animation
38	34	0	True	I think you have to have a pity system or else I would get so mad in not getting the item forever that I would actually quit the game	you’re just like praying it lands on a spot that is really good, it’s like oh, I was so close to getting this purple one	[a pity system] encourages the player to keep going since they expect they will get something better
29	35	0	True	I haven’t seen a lot of people using them already so you have to conform with or whatever is going on in the company right, I cannot be like Oh, you know I’m so friendly and everything and start using it	The very frst time, I couldn’t use all this because I was not aware Like if it was actually a good thing to do so, even with the manager, I still can’t do it... though things are smooth and all but I still can’t do it or use emoji while chatting with my manager or some other person in the senior management, it is just that we use simple SMILEY	I actually mostly have that problem with the thumbs up analogy because, like, in my family like if I use that with my mom she would think I was really passive aggressive and like vice versa, my mom used that with me and actually the frst time, my supervisor used it, I thought she was mad at me, and then I realized that was her version
71	36	0	True	I’m very less familiar with these emojis infact till today also I don’t know the actual need of some emojis	You don’t really know these people, and so you want to give of the right meaning of the message. Since we work remotely, what makes sense to you may not for them... especially since I was new, they did not know my personality	It’s not professional, so when joining a new team, it seems inappropriate to use gifs/stickers when others do not. If I work with this team longer, I’m sure I will start using them once I know everyone well
53	37	0	True	If you want to be an uploader, you want to make sure it is high quality. Otherwise, it is a waste of others’ time, which is not good	Some would say, the rhythm is not so good or there is no rhythmic point, or other places that are not so good. They, the audience, would use Danmu or comments to give you such feedback	It is not so interesting if you just go out to play for two days and shoot. Because if I am just a passerby, I will not fnd it attractive. Because it is just your life, not mine. I think, as uploaders, we have the responsibility to present quality content to the audience. I will not just make day-to-day accounts, because not every moment of life is fun
88	38	0	False	The number of views of my video got plummet all of a sudden, and there was not much exposure then. It was at that time that I realized that, oh, video uploading was not something that you do randomly, that you just edit and upload it	It is not so interesting if you just go out to play for two days and shoot. Because if I am just a passerby, I will not fnd it attractive. Because it is just your life, not mine. I think, as uploaders, we have the responsibility to present quality content to the audience. I will not just make day-to-day accounts, because not every moment of life is fun	The one I devoted the most to was a video I made last time, although I have deleted it...um...For that video, I had been working on it continuously for a whole week, but the feedback was far from being good, and that caused attitudinal change on me. Because it really took me quite some eforts, but I made a...a fatal mistake. That is, I was too self-absorbed. I neither considered it from the audience’s perspective, nor paid attention to whether they could understand.
140	39	0	False	the screenshots in highlights were almost the same so they didn’t provide much useful information	I could understand how previous parts were connected to the current topic. I could see that the ingredient preparation part was already done and thus cooking was in progress	I have to kind of be quick on that because I don’t want to miss any of the information
127	40	0	False	if I get something [not as good] I feel worse	I feel very happy if I get a really rare item	adding delay and baiting the colours of the rarity for the thrill
117	41	0	True	[some games] are very obviously teaching you math	they tell you to stand on your toes and slowly lower, you are bored out of your mind	I think that an issue that a lot of wheelchair users have with games, because obviously there aren’t many they seem a bit handholdy sort of alienated in a way, it feels very specifically designed for wheelchair users while someone in a wheelchair could use it, when it’s simple it seems obvious that it’s for someone in a wheelchair
96	42	0	False	There is a lot more information that a GIF carries compared to an emoji...it is just a fxed kind of expression or emotion devoid of any context of why, like a person is feeling that way, except for like what it is that you are talking about in the conversation	I would say, for using, for using like a stickers and memes, they are, they are fun, but I don’t use use those with like, with like everyone, basically I use these GIFs and stickers approximately with only like four to fve people...but the people who I am like comfortable with, whom I chat like after ofce, if I share my personal things with them to, with those people, I’m pretty comfortable and I share the stickers and memes with them.	Young people in China use slightly smiling emoji when they do not care or are speechless, and you do not wish to engage...once a Prof. from China used and I had no idea what he means...I asked for clarifcation, suggestions to improve if something was not right
93	43	0	True	The very frst time, I couldn’t use all this because I was not aware Like if it was actually a good thing to do so, even with the manager, I still can’t do it... though things are smooth and all but I still can’t do it or use emoji while chatting with my manager or some other person in the senior management, it is just that we use simple SMILEY	Most people, people in my team, are above 50 or 60, so it’s a little difcult to send like meme, stickers it can mean like something diferent if you are not sending to the people of your own age...Because I did not like I uh I did not get any response back, so I thought, okay, so maybe I should not have sent that; otherwise, she would have been responded to me...it’s a generational gap.	I haven’t seen a lot of people using them already so you have to conform with or whatever is going on in the company right, I cannot be like Oh, you know I’m so friendly and everything and start using it
87	44	0	False	The number of viewers soon reached over 10,000, and it was so much higher than what I imagined. I imagined it could be, could be tens of people to watch.	I tried Douyin but gave it up. I was not used to that atmosphere...I’ve also synced my works to Weibo, and gave it up too. After I tried around...I still feel I like Bilibili’s atmosphere the most	Some fans told me in their private message that they got dates by following my tutorials...I felt it was worth it. Even if the video was only watched by a number of viewers, it was worth it. I was very happy. It was the highlight and gave me a sense of achievement.
129	45	0	True	if the building has accessibility but it requires someone to operate the lift for you, you don’t feel very independent, you don’t want to feel as if people are going out of their way	muscles will cramp up making it impossible to return home	One of the reasons I don’t play [movement-based games] is it involves a lot of set up depending on what game you want to play.
149	46	0	False	you’re just like praying it lands on a spot that is really good, it’s like oh, I was so close to getting this purple one	I don’t like how it baits you with “almost” getting rare items	I think you have to have a pity system or else I would get so mad in not getting the item forever that I would actually quit the game
94	47	0	False	Then slowly, then, after some time we transcended from emails to phone calls and then to video calls like four ... And that happened because I would sometimes use SMILEY or some emoji and they would also reciprocate	My team lead posts some kind of random joke every day on like one the platform, so what he did was like he posts a joke there, and he would add random emoji at the bottom with the post, and would want us to vote using those emoji	Yes, I would say that because previously in my last company I have made some great friends and, and I did not met with them like face to face ever, but I, but I still talk to them and I haven’t had any calls with them only messages and right now, at this company, I never had, I never had any physical Like physical connection with like a with like anyone [...] so I would say yes, non-textual responses have helped me in in building the relationships and I have made some great friends in my previous [and] current company
13	48	0	False	I can say, when I was not very familiar with the team, I was hesitant to use diferent smileys. Like you know, I’m kind of like shy in nature when it comes to like sharing a heart SMILEY with others. It is sometimes difcult for me, so yeah, I was frst like very hesitant to put a heart. But later as I get to know people, yeah they are like kind of cool... I don’t mind using it now	There is this thing within a certain group they have like a norm that they don’t use the praying emoji for thank you because they do not want to use any religious emoji...so they like own a thank you emoji and...when I entered, I didn’t know this, so I used the praying emoji for Thank you emoji, and then some people sent me a message saying I should use the other non-religious thank you emoji	Yes, I would say that because previously in my last company I have made some great friends and, and I did not met with them like face to face ever, but I, but I still talk to them and I haven’t had any calls with them only messages and right now, at this company, I never had, I never had any physical Like physical connection with like a with like anyone [...] so I would say yes, non-textual responses have helped me in in building the relationships and I have made some great friends in my previous [and] current company
36	49	0	False	I think it’s pretty bad ... it’s not something that is super spectacular, or something that makes you feel really great and stuff	Wow, this is the most boring opening I’ve ever seen. It feels like you’re doing homework, feels like you’re just clicking buttons. There’s no visual feedback or visual reward	it’s just visually appealing to look at” (P8), and “you get a flash of light at the beginning, and you’re like oh ****, ... it’s really exciting you know
98	50	0	False	There is this thing within a certain group they have like a norm that they don’t use the praying emoji for thank you because they do not want to use any religious emoji...so they like own a thank you emoji and...when I entered, I didn’t know this, so I used the praying emoji for Thank you emoji, and then some people sent me a message saying I should use the other non-religious thank you emoji	I can say, when I was not very familiar with the team, I was hesitant to use diferent smileys. Like you know, I’m kind of like shy in nature when it comes to like sharing a heart SMILEY with others. It is sometimes difcult for me, so yeah, I was frst like very hesitant to put a heart. But later as I get to know people, yeah they are like kind of cool... I don’t mind using it now	when you try to communicate a lot using a limited medium like a job is essentially an instant messenger that comes from the idea that you can’t really write letters and expect people to receive it and all of that right
14	51	0	False	I could jump back to certain sections by looking at snapshots on the timeline when there was something I couldn’t understand	I was able to understand how the dish was being cooked, in what order	It was easier to go back through the timeline when I could understand the story and empathize with others only if I knew the story covered earlier
107	52	0	True	Yeah, I mean one thing is that there are too many emoji and I have to if I had to use a new one, I had to go and search what it means, and then use it. So most of the times, I’m aware that there is a hover over feature, it tells the meaning, but it’s just that there are too many. So, I think it’s just a preference that I tend to not look over it since, as I mean since I’m a Ph.D. student, I tend to have a short amount of time to get things done in a short amount of time	When I want to search some like keywords, but I cannot get the emoji, I don’t know if they have, like several keywords for emoji or there’s just like a naming for the emoji say if you give one emoji several keywords I can search it very quickly... Sometimes when I type something, especially for the emoji. I cannot get the result. I can just see no results	So he would say thank you over the video, and after a few minutes he would send a giphy...he would send that, and that sticker would be crying. And it would seem that that person is sad, and I wouldn’t say anything like for a few days, but then I noticed this kept happening again. I was totally clueless...and then it turns out that he was sending like over happiness, which I thought, like, ‘Why is he crying and why is the person sad?
82	53	0	True	Sometimes I can ask a person to volunteer to clear the way when I’m coming, or I can make a sound like..’zzzz’ , so people will turn their head back and see me coming.	It can make people better aware [that] the wheelchair is coming, but I don’t want to draw extra attention on me, especially on my disability	I normally shout at people or use my elbow to avoid them fall on me
122	54	0	False	does some coding, he has to look at his interpreter, so he misses it	cancels out those two (pinned) videos and then just makes your whole screen full screen of whatever they’re showing	look at the person who’s making a comment or asking a question, their body language, facial expressions, and those sorts of things
97	55	0	False	There is an emoji that’s kind of like that this guy used to send to everybody, and it became kind of like his thing...And then now do you know we don’t see that emoji thrown around anymore, and feel like people don’t want to use it, because then you know; it’s copycatting that guy	My team lead posts some kind of random joke every day on like one the platform, so what he did was like he posts a joke there, and he would add random emoji at the bottom with the post, and would want us to vote using those emoji	When I joined, someone told me we all had chosen a specifc emoji, and whenever we have a recommended message, oh, I’ve read it instead of like All responding separately. We respond with our personal emoji, so that’s a super formal way, my favorite emojis were already taken when I joined the group, so I chose, in the end, a fun video emoji with like a star...
4	56	0	True	Based on snapshots and keywords I was able to roughly understand when ingredients were introduced and when and what ingredients were added. However, it was difcult to grasp the exact contents with the highlight feature alone, such as how it was cooked	Typical live streams are unedited, so it’s easy to get bored when it gets loose. However, the summary feature made me enjoy the stream especially when the streamer was not speaking or something that I’m not interested in was being played	The system let me know roughly what happened before, but some keywords were too general so it was hard to know what happened exactly
109	57	0	False	Yes, I would say that because previously in my last company I have made some great friends and, and I did not met with them like face to face ever, but I, but I still talk to them and I haven’t had any calls with them only messages and right now, at this company, I never had, I never had any physical Like physical connection with like a with like anyone [...] so I would say yes, non-textual responses have helped me in in building the relationships and I have made some great friends in my previous [and] current company	I can say, when I was not very familiar with the team, I was hesitant to use diferent smileys. Like you know, I’m kind of like shy in nature when it comes to like sharing a heart SMILEY with others. It is sometimes difcult for me, so yeah, I was frst like very hesitant to put a heart. But later as I get to know people, yeah they are like kind of cool... I don’t mind using it now	Then slowly, then, after some time we transcended from emails to phone calls and then to video calls like four ... And that happened because I would sometimes use SMILEY or some emoji and they would also reciprocate
137	58	0	False	muscles will cramp up making it impossible to return home	I used to do it all the time [be physically active], why should I stop now?	if the building has accessibility but it requires someone to operate the lift for you, you don’t feel very independent, you don’t want to feel as if people are going out of their way
84	59	0	False	Sometimes, it is hard to fnd the one emoji or GIF that expresses what I try to communicate	I use Microsoft teams which doesn’t support most of gifs	also if we type any text, it’s translated to the emoticon when it is not required
116	60	0	True	[a pity system] encourages the player to keep going since they expect they will get something better	it feels better to pull with a more guarantee at the back of your mind	I think you have to have a pity system or else I would get so mad in not getting the item forever that I would actually quit the game
91	61	0	True	The system let me know roughly what happened before, but some keywords were too general so it was hard to know what happened exactly	The transcript was awkwardly transcribed so it was hard to understand the content.	Based on snapshots and keywords I was able to roughly understand when ingredients were introduced and when and what ingredients were added. However, it was difcult to grasp the exact contents with the highlight feature alone, such as how it was cooked
45	62	0	True	I was able to understand how the dish was being cooked, in what order	I was able to know what specifc topics in stocks the stream is covering by looking at the keywords provided in the timeline, such as ‘healthcare’ and stock names	I could jump back to certain sections by looking at snapshots on the timeline when there was something I couldn’t understand
16	63	0	False	I could understand the flow of the game well because it made the order of previous events clear for me.	It was nice to see useful chat messages being organized without unrelated ones and keep them like memos	Typical live streams are unedited, so it’s easy to get bored when it gets loose. However, the summary feature made me enjoy the stream especially when the streamer was not speaking or something that I’m not interested in was being played
79	64	0	True	So in Tell-Tale games, they say at the end of the chapter ’66 percent of people made this decision’, and you can compare yourself so if you’re climbing Everest you can give them options to go this way, or tie yourself to this tree, so this influences PA that the person does [...].	Like Facebook games...it will come up on your feed showing you how well others have done, giving people a challenge, like global challenges so that’s involving others, but it doesn’t really affect you	I don’t like getting called out. There can be a lot of rage like you can make a mistake and die first [...] and people might not know you’re disabled, like you die on an easy part where everyone lived. [...] I don’t want to have to explain myself
150	65	0	False	“I will do something to enhance the video efects. For instance, I was there for Chinese osteopathy, so I would turn my head...exaggerate my emotional expressions, and so on	Actually I think it depends on everyone as an individual, because everyone has diferent situations. Some are suitable to do makeup videos, because they have mastered good makeup techniques...For uploaders like me, who have conversational type [of videos], it is important that we are engaging in a conversation. That is, when facing a camera, we act like we are engaging in a conversation with you. If you just recite the script, it will not be good...Um..I took hosting lessons when I was a child, so I am relatively good at it	If sometimes I happened to experience something that is trafc related, I will do the trafc video, but if not, I will not make trafc videos deliberately.
28	66	0	False	I haven’t found a website that specifically says at 160 degrees, cook all this stuff. At 170 cook all this. . . I couldn’t really find a good resource for that	A challenge is just not knowing what the result would be... When I did the beef jerky I was like, is this safe? There was some nervousness there	It took a lot more attention to detail because of food safety. I would have to go out every 20 minutes to change the angle of the oven and do periodic temperature checks
102	67	0	False	When I joined, someone told me we all had chosen a specifc emoji, and whenever we have a recommended message, oh, I’ve read it instead of like All responding separately. We respond with our personal emoji, so that’s a super formal way, my favorite emojis were already taken when I joined the group, so I chose, in the end, a fun video emoji with like a star...	The emoji and then the text communication is a subset of this new expected cultural norm of the accepted behavior for a company, that’s now online [...] You have an expectation that’s preset on, and we’ve been trained; you watch a movie you’re learning like oh that’s how people behave in an ofce, you know, and now it’s not like there’s a movie that shows people behaving on slack, so like the behavior, diferent people really varies [...]	There is an emoji that’s kind of like that this guy used to send to everybody, and it became kind of like his thing...And then now do you know we don’t see that emoji thrown around anymore, and feel like people don’t want to use it, because then you know; it’s copycatting that guy
23	68	0	False	I feel that they help convey emotion and provide context in text conversations, where feelings are not as easily expressed as in video calls. After a while on the team, it was also a means of having a laugh or adding favor to casual conversations and getting to know one another. For messages with a wider audience, they served as a quick way to express agreement, looking into something or give a quick response to indicate that attention has been given to a message someone has put out	It helps to communicate emotion and create more meaningful connections with your team. It gives the conversation a more human and connected feel	“To make the conversation a little lighter and to indicate if something is funny or hilarious
5	69	0	True	Because you will kick out uploaders. When you browse the new updates, and if you fnd that this uploader has not been making videos or making terrible ones recently, you will unfollow him,right?	You can see that once they were very productive, full of energy, updating weekly. As creators, it was like they were in their youth, and they were especially popular... And slowly you will fnd that the issues they want to talk about or the things they care about have all been covered... In a video, one uploader said, ‘I am done telling you all my opinions about fashion, and I don’t need to output more’... So I feel their updating is slowing down... It becomes more casual, nothing very purposeful or strong anymore	If you do not have stable uploading, you will be given up
19	70	0	False	I don’t like getting called out. There can be a lot of rage like you can make a mistake and die first [...] and people might not know you’re disabled, like you die on an easy part where everyone lived. [...] I don’t want to have to explain myself	So in Tell-Tale games, they say at the end of the chapter ’66 percent of people made this decision’, and you can compare yourself so if you’re climbing Everest you can give them options to go this way, or tie yourself to this tree, so this influences PA that the person does [...].	the main problem is like most wheelchair users in England, they’re told by doctors [...] this is kind of the end, like once you’re in a wheelchair that’s sort of the of it [physical activity] [...] so it’s difficult to find a large enough group
